ガラル図鑑	ポケモン名	ヨロイ図鑑	ポケモン名	カンムリ図鑑	ポケモン名
174	 コロモリ	170	 カラカラ	169	 エルフーン
175	 ココロモリ	171	 ガラガラ	170	 ツボツボ
176	 オンバット	171	 ガラガラ(アローラ)	171	 イエッサン♂
177	 オンバーン	172	 ガルーラ	171	 イエッサン♀
178	 イワーク	173	 コータス	172	 ゴンベ
179	 ハガネール	174	 スナヘビ	173	 カビゴン
180	 サシカマス	175	 サダイジャ	174	 ヤミラミ
181	 カマスジョー	176	 メグロコ	175	 クチート
182	 ニャース	177	 ワルビル	176	 タンドン
182	 ニャース(アローラ)	178	 ワルビアル	177	 トロッゴン
182	 ニャース(ガラル)	179	 ワシボン	178	 セキタンザン
183	 ニャイキング	180	 ウォーグル	179	 テッシード
184	 ペルシアン	181	 バルチャイ	180	 ナットレイ
184	 ペルシアン(アローラ)	182	 バルジーナ	181	 オンバット
185	 マホミル	183	 サイホーン	182	 オンバーン
186	 マホイップ	184	 サイドン	183	 リリーラ
187	 アブリー	185	 ドサイドン	184	 ユレイドル
188	 アブリボン	186	 メラルバ	185	 アノプス
189	 テッシード	187	 ウルガモス	186	 アーマルド
190	 ナットレイ	188	 チョンチー	187	 ジーランス
191	 バケッチャ(普通)	189	 ランターン	188	 ヒンバス
191	 バケッチャ(小)	190	 ホエルコ	189	 ミロカロス
191	 バケッチャ(大)	191	 ホエルオー	190	 ラプラス
191	 バケッチャ(特大)	192	 プルリル	191	 ココドラ
192	 パンプジン(普通)	193	 ブルンゲル	192	 コドラ
192	 パンプジン(小)	194	 クズモー	193	 ボスゴドラ
192	 パンプジン(大)	195	 ドラミドロ	194	 ミニリュウ
192	 パンプジン(特大)	196	 ウデッポウ	195	 ハクリュー
193	 ピチュー	197	 ブロスター	196	 カイリュー
194	 ピカチュウ	198	 タッツー	197	 レジロック
195	 ライチュウ	199	 シードラ	198	 レジアイス
196	 イーブイ	200	 キングドラ	199	 レジスチル
197	 シャワーズ	201	 チュリネ	200	 レジエレキ
198	 サンダース	202	 ドレディア	201	 レジドラゴ
199	 ブースター	203	 ミツハニー	202	 フリーザー
200	 エーフィ	204	 ビークイン	202	 フリーザー(ガラル)
201	 ブラッキー	205	 タマタマ	203	 サンダー
202	 リーフィア	206	 ナッシー	203	 サンダー(ガラル)
203	 グレイシア	206	 ナッシー(アローラ)	204	 ファイヤー
204	 ニンフィア	207	 メタモン	204	 ファイヤー(ガラル)
205	 カジッチュ	208	 ポリゴン	205	 コバルオン
206	 アップリュー	209	 ポリゴン2	206	 テラキオン
207	 タルップル	210	 ポリゴンZ	207	 ビリジオン
208	 ニャスパー	211	 ザルード	208	 ブリザポス
209	 ニャオニクス♂			209	 レイスポス
209	 ニャオニクス♀			210	 バドレックス
210	 ペロッパフ			210	 バドレックス(はくば)
211	 ペロリーム			210	 バドレックス(こくば)
212	 シュシュプ				
213	 フレフワン				
214	 シズクモ				
215	 オニシズクモ				
216	 ソーナノ				
217	 ソーナンス				
218	 カモネギ				
218	 カモネギ(ガラル)				
219	 ネギガナイト				
220	 チョンチー				
221	 ランターン				
222	 グレッグル				
223	 ドクロッグ				
224	 ズルッグ				
225	 ズルズキン				
226	 マッギョ				
226	 マッギョ(ガラル)				
227	 ツボツボ				
228	 ドジョッチ				
229	 ナマズン				
230	 カラナクシ				
231	 トリトドン				
232	 コソクムシ				
233	 グソクムシャ				
234	 カメテテ				
235	 ガメノデス				
236	 サニーゴ				
236	 サニーゴ(ガラル)				
237	 サニゴーン				
238	 ベロバー				
239	 ギモー				
240	 オーロンゲ				
241	 ミブリム				
242	 テブリム				
243	 ブリムオン				
244	 ヤトウモリ				
245	 エンニュート				
246	 コマタナ				
247	 キリキザン				
248	 ナゲキ				
249	 ダゲキ				
250	 ドガース				
251	 マタドガス				
251	 マタドガス(ガラル)				
252	 ウソハチ				
253	 ウソッキー				
254	 ピィ				
255	 ピッピ				
256	 ピクシー				
257	 トゲピー				
258	 トゲチック				
259	 トゲキッス				
260	 ゴンベ				
261	 カビゴン				
262	 モンメン				
263	 エルフーン				
264	 サイホーン				
265	 サイドン				
266	 ドサイドン				
267	 ゴチム				
268	 ゴチミル				
269	 ゴチルゼル				
270	 ユニラン				
271	 ダブラン				
272	 ランクルス				
273	 カブルモ				
274	 シュバルゴ				
275	 チョボマキ				
276	 アギルダー				
277	 リグレー				
278	 オーベム				
279	 クマシュン				
280	 ツンベアー				
281	 ワシボン				
282	 ウォーグル				
283	 バルチャイ				
284	 バルジーナ				
285	 スコルピ				
286	 ドラピオン				
287	 ヒトモシ				
288	 ランプラー				
289	 シャンデラ				
290	 マーイーカ				
291	 カラマネロ				
292	 ニューラ				
293	 マニューラ				
294	 ヤミラミ				
295	 クチート				
296	 マラカッチ				
297	 シンボラー				
298	 リオル				
299	 ルカリオ				
300	 コータス				
301	 ミミッキュ				
302	 ゾウドウ				
303	 ダイオウドウ				
304	 ハリーセン				
305	 プルリル				
306	 ブルンゲル				
307	 ヒドイデ				
308	 ドヒドイデ				
309	 ウッウ				
310	 エレズン				
311	 ストリンダー(ハイ)				
311	 ストリンダー(ロー)				
312	 スナヘビ				
313	 サダイジャ				
314	 ヒポポタス				
315	 カバルドン				
316	 アイアント				
317	 クイタラン				
318	 エリキテル				
319	 エレザード				
320	 ルチャブル				
321	 ナックラー				
322	 ビブラーバ				
323	 フライゴン				
324	 キバゴ				
325	 オノンド				
326	 オノノクス				
327	 デスマス				
327	 デスマス(ガラル)				
328	 デスバーン				
329	 デスカーン				
330	 ヒトツキ				
331	 ニダンギル				
332	 ギルガルド(シールド)				
332	 ギルガルド(ブレード)				
333	 ポニータ(ガラル)				
334	 ギャロップ(ガラル)				
335	 ヤバチャ				
336	 ポットデス				
337	 イエッサン♂				
337	 イエッサン♀				
338	 ボクレー				
339	 オーロット				
340	 ネマシュ				
341	 マシェード				
342	 ヤレユータン				
343	 ナゲツケサル				
344	 モルペコ				
345	 タイレーツ				
346	 ジジーロン				
347	 バクガメス				
348	 トゲデマル				
349	 ユキハミ				
350	 モスノウ				
351	 タタッコ				
352	 オトスパス				
353	 バチンウニ				
354	 タマンタ				
355	 マンタイン				
356	 ホエルコ				
357	 ホエルオー				
358	 カチコール				
359	 クレベース				
360	 ダダリン				
361	 ラプラス				
362	 ルナトーン				
363	 ソルロック				
364	 マネネ				
365	 バリヤード				
365	 バリヤード(ガラル)				
366	 バリコオル				
367	 ダルマッカ(ガラル)				
368	 ヒヒダルマ(ガラル)				
368	 ヒヒダルマ(ダルマ・ガラル)				
369	 イシヘンジン				
370	 コオリッポ(アイス)				
370	 コオリッポ(ナイス)				
371	 ジュラルドン				
372	 ロトム				
372	 ヒートロトム				
372	 ウォッシュロトム				
372	 フロストロトム				
372	 スピンロトム				
372	 カットロトム				
373	 メタモン				
374	 パッチラゴン				
375	 パッチルドン				
376	 ウオノラゴン				
377	 ウオチルドン				
378	 ヒトカゲ				
379	 リザード				
380	 リザードン				
381	 タイプ：ヌル				
382	 シルヴァディ				
383	 ヨーギラス				
384	 サナギラス				
385	 バンギラス				
386	 モノズ				
387	 ジヘッド				
388	 サザンドラ				
389	 ヌメラ				
390	 ヌメイル				
391	 ヌメルゴン				
392	 ジャラコ				
393	 ジャランゴ				
394	 ジャラランガ				
395	 ドラメシヤ				
396	 ドロンチ				
397	 ドラパルト				
398	 ザシアン				
398	 ザシアン(王)				
399	 ザマゼンタ				
399	 ザマゼンタ(王)				
400	 ムゲンダイナ				
400	 ムゲンダイナ(ムゲンダイマックス)				
